MHC,Number_of_binders,PCC,ANN_error,AUC,nh,nPeptide
B0702,1054,0.0609878301620483,0.0457774847745895,0.5,128,1262
B0801,688,-0.0137660978361964,0.012882113456726,0.5,128,708
B1501,799,-0.0723409727215766,0.0299239661544561,0.5,128,978
B1801,71,0.7594536542892456,0.0405428521335125,0.6,128,118
B2705,913,0.431366890668869,0.011675045825541,0.5,128,969
B3501,525,0.008298291824758,0.0616960152983665,0.4939814814814814,128,736
B4001,1038,0.0382753424346447,0.0164705961942672,0.5,128,1078
B4002,79,0.2940609157085418,0.0524653457105159,0.5,128,118
B4402,75,0.3191592693328857,0.0418716371059417,0.5,128,119
B4403,85,0.3638838529586792,0.0382445119321346,0.542016806722689,128,119
B4501,65,0.2694061696529388,0.0385810956358909,0.4642857142857143,128,114
B5101,159,0.2414230704307556,0.0787679553031921,0.5,128,244
B5301,148,0.1896095126867294,0.083946518599987,0.5903225806451613,128,254
B5401,174,0.4523309469223022,0.0558200068771839,0.7145748987854251,128,255
B5701,48,0.8816219568252563,0.0206549502909183,0.7,128,59
B5801,884,0.287378191947937,0.0307278782129287,0.5238869028274293,128,988
